900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900219061;Семёнов С.С.;Лемешки с., Свободы шоссе, 82, 45;519;0
900219106;Иванов И.И.;Александров г., Набережная ул, Дом не указан, Квартира не указана;519;167.55
900219116;Иванов И.И.;Кольчугино г., Комсомольская б-р, 79, 33;519;203.96;3300000001 ХВС;0
900219162;Новиков Н.Н.;Гусь-Хрустальный г., Строительная ул, 149, 49;519;512.89;3300000001 ХВС;0
900219180;Лебедев Л.Л.;Муром г., Гагарина тер, 83, 2;519;0
900219241;Фёдоров Ф.Ф.;Александров г., Строительная б-р, Дом не указан, Квартира не указана;519;384.15
900219269;Семёнов С.С.;Лемешки с., Полевая наб, Дом не указан, Квартира не указана;519;533.00
900219270;Егоров Е.Е.;Вязники г., Молодежная пер, Дом не указан, Квартира не указана;519;235.29
900219288;данные отсутствуют;Муром г., Пушкина ул, 143, 0;519;509.11
900219327;Васильев Е.Е.;Камешково г., Луговая тер, 62, 95;519;0
900219337;Петров П.П.;Телегино д., Свободы наб, 5, 86;519;0
900219391;Кузнецов А.А.;Красная Горбатка п., Свободы наб, Дом не указан, Квартира не указана;519;104.25
900219405;данные отсутствуют;Боголюбово п., Гагарина мкр, 129, 0;519;433.65
900219430;Попов Д.Д.;Лакинск г., Улица не указана, Заречная, 0;0;0
900219432;Петров П.П.;Ставрово п., Октябрьская ул, 33, 139;519;131.93;3300000001 ХВС;0
900219462;Кузнецов А.А.;Бавлены п., Набережная шоссе, 101, 37;519;335.92;3300000001 ХВС;0
900219467;данные отсутствуют;Бавлены п., Колхозная пер, 34, 0;519;432.50
900219472;Кузнецов А.А.;Муром г., Свободы мкр, 69, 33;519;0
900219587;Семёнов С.С.;Красная Горбатка п., Пионерская б-р, Дом не указан, Квартира не указана;519;233.74
900219638;Алексеев А.А.;Ставрово п., Полевая наб, 9, 90;519;0
900219649;данные отсутствуют;Александров г., Набережная шоссе, 105, 0;519;341.91
900219678;Алексеев А.А.;Камешково г., Октябрьская шоссе, 129, 130;519;130.71;3300000001 ХВС;0
900219680;Михайлов М.М.;Головино п., Улица не указана, Центральная, 0;0;0
900219729;данные отсутствуют;Ковров г., Набережная мкр, 26, 0;519;227.26
900219778;Петров П.П.;Владимир г., Центральная наб, Дом не указан, Квартира не указана;519;506.24
900219783;Новиков Н.Н.;Боголюбово п., Молодежная пр-кт, Дом не указан, Квартира не указана;519;121.14
900219801;данные отсутствуют;Киржач г., Новая ул, 73, 0;519;122.69
900219843;Морозов М.М.;Семьинское с., Полевая пер, 100, 53;519;176.16;3300000001 ХВС;0
900219858;Морозов М.М.;Новоселка д., Улица не указана, Первомайская, 0;0;0
900219889;Егоров Е.Е.;Ковров г., Улица не указана, Набережная, 0;0;0
900219891;данные отсутствуют;Киржач г., Новая пер, 95, 0;519;455.04
900219904;Фёдоров Ф.Ф.;Бавлены п., Школьная ул, 131А, 100;519;0
900219967;данные отсутствуют;Новоселка д., Советская ул, 108А, 0;519;414.55
900219985;Алексеев А.А.;Новоселка д., Победы шоссе, Дом не указан, Квартира не указана;519;441.86
900219986;Попов Д.Д.;Александров г., Первомайская наб, 146, 134;519;514.43;3300000001 ХВС;0
900219998;данные отсутствуют;Гусь-Хрустальный г., Свободы пл, 76А, 0;519;539.70
900220000;Михайлов М.М.;Вязники г., Улица не указана, Строительная, 0;0;0
900220042;Кузнецов А.А.;Красная Горбатка п., Победы мкр, 110, 60;519;0
900220051;данные отсутствуют;Гусь-Хрустальный г., Победы ул, 97, 0;519;351.59
900220082;Волков В.В.;Вязники г., Пионерская пр-кт, 149, 13;519;0
900220113;Попов Д.Д.;Бавлены п., Набережная тер, 4, 144;519;242.31;3300000001 ХВС;0
900220114;Фёдоров Ф.Ф.;Лемешки с., Свободы б-р, Дом не указан, Квартира не указана;519;425.20
900220117;данные отсутствуют;Ковров г., Заречная пер, 67, 0;519;404.08
900220128;Кузнецов А.А.;Бавлены п., Строительная пр-кт, 11А, 126;519;0
900220130;Волков В.В.;Собинка г., Школьная пл, 112, 10;519;251.32;3300000001 ХВС;0
900220143;данные отсутствуют;Ковров г., Полевая пер, 130, 0;519;183.31
900220153;Фёдоров Ф.Ф.;Вязники г., Строительная пер, 12, 93;519;135.33;3300000001 ХВС;0
900220157;Фёдоров Ф.Ф.;Кольчугино г., Улица не указана, Ленина, 0;0;0
900220168;Васильев Е.Е.;Собинка г., Улица не указана, Октябрьская, 0;0;0
900220172;данные отсутствуют;Новоселка д., Октябрьская мкр, 71, 0;519;370.66
900220186;Семёнов С.С.;Беречино д., Победы тер, Дом не указан, Квартира не указана;519;170.56
900220251;Петров П.П.;Сокол п., Мира б-р, Дом не указан, Квартира не указана;519;232.62
900220271;Иванов И.И.;Суздаль г., Мира пер, Дом не указан, Квартира не указана;519;309.56
900220291;данные отсутствуют;Лакинск г., Заречная пр-кт, 41, 0;519;97.21
900220362;Новиков Н.Н.;Собинка г., Улица не указана, Победы, 0;0;0
900220373;данные отсутствуют;Камешково г., Свободы б-р, 61, 0;519;59.94
900220382;Иванов И.И.;Лемешки с., Гагарина мкр, 44, 137;519;238.54;3300000001 ХВС;0
900220395;Сидоров С.С.;Муром г., Лесная пр-кт, 12, 135;519;0
900220408;Иванов И.И.;Киржач г., Пионерская шоссе, Дом не указан, Квартира не указана;519;168.04
900220465;данные отсутствуют;Юрьевец п., Комсомольская мкр, 135, 0;519;221.19
900220482;Васильев Е.Е.;Покров г., Гагарина ул, Дом не указан, Квартира не указана;519;470.97
900220553;Морозов М.М.;Юрьевец п., Улица не указана, Комсомольская, 0;0;0
900220573;Кузнецов А.А.;Киржач г., Свободы пр-кт, 114, 99;519;0
900220639;Фёдоров Ф.Ф.;Вязники г., Полевая пер, 36, 126;519;275.60;3300000001 ХВС;0
900220647;Васильев Е.Е.;Телегино д., Полевая пл, Дом не указан, Квартира не указана;519;546.08
900220700;Егоров Е.Е.;Бавлены п., Молодежная тер, Дом не указан, Квартира не указана;519;429.19
900220708;Волков В.В.;Муром г., Улица не указана, Колхозная, 0;0;0
900220709;Петров П.П.;Кольчугино г., Пионерская наб, 54, 29;519;249.00;3300000001 ХВС;0
900220788;Васильев Е.Е.;Собинка г., Пушкина пл, 55, 11;519;0
900220817;Алексеев А.А.;Бавлены п., Октябрьская б-р, 42, 134;519;314.26;3300000001 ХВС;0
900220819;Михайлов М.М.;Бавлены п., Заречная б-р, 144А, 128;519;0
900220831;данные отсутствуют;Муром г., Свободы шоссе, 4, 0;519;334.53
900220832;Сидоров С.С.;Камешково г., Октябрьская пер, 93, 118;519;0
900220851;Сидоров С.С.;Вязники г., Лесная ул, Дом не указан, Квартира не указана;519;164.15
900220865;Семёнов С.С.;Семьинское с., Улица не указана, Колхозная, 0;0;0
900220882;Сидоров С.С.;Новоселка д., Первомайская ул, 9, 80;519;0
900220912;Петров П.П.;Ставрово п., Лесная наб, 104, 90;519;0
900220913;данные отсутствуют;Гусь-Хрустальный г., Центральная пер, 27, 0;519;490.08
900220932;данные отсутствуют;Бавлены п., Свободы мкр, 55, 0;519;482.97
900220941;данные отсутствуют;Семьинское с., Победы б-р, 109, 0;519;119.80
900220986;Попов Д.Д.;Муром г., Улица не указана, Первомайская, 0;0;0
900221019;Иванов И.И.;Муром г., Строительная пер, Дом не указан, Квартира не указана;519;123.68
900221040;Иванов И.И.;Собинка г., Улица не указана, Первомайская, 0;0;0
900221081;Фёдоров Ф.Ф.;Муром г., Комсомольская пл, Дом не указан, Квартира не указана;519;419.31
900221083;Фёдоров Ф.Ф.;Ковров г., Пушкина б-р, 150, 77;519;450.98;3300000001 ХВС;0
900221095;Алексеев А.А.;Сокол п., Пушкина шоссе, Дом не указан, Квартира не указана;519;522.46
900221106;Волков В.В.;Муром г., Улица не указана, Центральная, 0;0;0
900221109;Васильев Е.Е.;Ставрово п., Заречная тер, 143, 120;519;187.46;3300000001 ХВС;0
900221143;Сидоров С.С.;Семьинское с., Полевая ул, Дом не указан, Квартира не указана;519;175.18
900221151;данные отсутствуют;Телегино д., Школьная пл, 1А, 0;519;444.69
900221164;данные отсутствуют;Лакинск г., Школьная пер, 56, 0;519;86.12
900221176;данные отсутствуют;Александров г., Победы пр-кт, 70, 0;519;387.14
900221183;Васильев Е.Е.;Телегино д., Улица не указана, Молодежная, 0;0;0
900221189;Лебедев Л.Л.;Юрьевец п., Набережная ул, 111, 117;519;0
900221196;Новиков Н.Н.;Муром г., Молодежная шоссе, Дом не указан, Квартира не указана;519;468.09
900221214;данные отсутствуют;Лемешки с., Школьная наб, 27, 0;519;77.73
900221226;Лебедев Л.Л.;Бавлены п., Набережная шоссе, Дом не указан, Квартира не указана;519;542.26
900221228;Лебедев Л.Л.;Суздаль г., Улица не указана, Гагарина, 0;0;0
900221261;данные отсутствуют;Муром г., Пушкина пл, 109А, 0;519;451.24
900221270;Сидоров С.С.;Суздаль г., Колхозная б-р, Дом не указан, Квартира не указана;519;416.20
900221286;Сидоров С.С.;Сокол п., Пионерская б-р, 101, 117;519;112.93;3300000001 ХВС;0
900221296;Егоров Е.Е.;Ставрово п., Полевая мкр, 111, 42;519;0
900221360;Кузнецов А.А.;Покров г., Центральная мкр, Дом не указан, Квартира не указана;519;92.61
900221361;Сидоров С.С.;Суздаль г., Мира пр-кт, 137, 95;519;244.39;3300000001 ХВС;0
900221369;Смирнов В.В.;Муром г., Пионерская шоссе, 114, 126;519;444.93;3300000001 ХВС;0
900221373;Егоров Е.Е.;Новоселка д., Победы пл, Дом не указан, Квартира не указана;519;354.25
900221391;Михайлов М.М.;Боголюбово п., Гагарина б-р, 14, 103;519;96.69;3300000001 ХВС;0
900221446;Новиков Н.Н.;Суздаль г., Центральная мкр, Дом не указан, Квартира не указана;519;235.15
900221465;Фёдоров Ф.Ф.;Вязники г., Улица не указана, Октябрьская, 0;0;0
900221508;Новиков Н.Н.;Покров г., Улица не указана, Первомайская, 0;0;0
900221510;данные отсутствуют;Семьинское с., Школьная пр-кт, 143, 0;519;421.80
900221517;данные отсутствуют;Киржач г., Набережная пр-кт, 91А, 0;519;437.40
900221543;Егоров Е.Е.;Кольчугино г., Новая ул, Дом не указан, Квартира не указана;519;307.20
900221553;данные отсутствуют;Камешково г., Комсомольская пер, 82А, 0;519;532.68
900221581;данные отсутствуют;Ковров г., Октябрьская ул, 116, 0;519;315.45
900221587;Лебедев Л.Л.;Красная Горбатка п., Улица не указана, Советская, 0;0;0
900221596;данные отсутствуют;Ставрово п., Заречная пер, 118, 0;519;306.91
900221622;Лебедев Л.Л.;Кольчугино г., Гагарина пер, 4, 68;519;0
900221669;Михайлов М.М.;Ставрово п., Свободы пер, Дом не указан, Квартира не указана;519;147.51
900221670;Михайлов М.М.;Лакинск г., Улица не указана, Гагарина, 0;0;0
900221675;данные отсутствуют;Кольчугино г., Садовая шоссе, 17, 0;519;435.08
900221680;Михайлов М.М.;Вязники г., Октябрьская пер, 123, 79;519;101.29;3300000001 ХВС;0
900221695;данные отсутствуют;Гусь-Хрустальный г., Школьная тер, 125, 0;519;399.13
900221700;данные отсутствуют;Боголюбово п., Центральная мкр, 67, 0;519;478.69
900221710;данные отсутствуют;Беречино д., Пионерская пр-кт, 87, 0;519;351.96
900221712;Егоров Е.Е.;Гусь-Хрустальный г., Строительная ул, 75, 37;519;189.47;3300000001 ХВС;0
900221736;Фёдоров Ф.Ф.;Красная Горбатка п., Лесная мкр, 87, 139;519;475.18;3300000001 ХВС;0
900221738;Егоров Е.Е.;Красная Горбатка п., Молодежная шоссе, Дом не указан, Квартира не указана;519;190.24
900221740;Алексеев А.А.;Семьинское с., Заречная пл, 27, 145;519;0
900221754;Попов Д.Д.;Сокол п., Свободы б-р, Дом не указан, Квартира не указана;519;210.72
900221758;Егоров Е.Е.;Покров г., Гагарина мкр, 91, 42;519;0
900221773;данные отсутствуют;Сокол п., Первомайская ул, 88, 0;519;143.73
900221775;Алексеев А.А.;Ковров г., Первомайская ул, 118, 17;519;0
900221782;Кузнецов А.А.;Муром г., Ленина наб, 72, 40;519;462.87;3300000001 ХВС;0
900221801;Васильев Е.Е.;Ставрово п., Улица не указана, Полевая, 0;0;0
900221807;Смирнов В.В.;Лемешки с., Ленина б-р, 93, 84;519;65.31;3300000001 ХВС;0
900221821;Волков В.В.;Юрьевец п., Колхозная пер, 17, 112;519;223.61;3300000001 ХВС;0
900221917;Сидоров С.С.;Ставрово п., Улица не указана, Советская, 0;0;0
900221918;Кузнецов А.А.;Вязники г., Первомайская шоссе, 47А, 34;519;0
900221939;Иванов И.И.;Вязники г., Центральная тер, 16, 102;519;0
900221948;Новиков Н.Н.;Гусь-Хрустальный г., Луговая пр-кт, Дом не указан, Квартира не указана;519;154.31
900221999;данные отсутствуют;Юрьевец п., Заречная наб, 61, 0;519;334.82
900222022;Смирнов В.В.;Гусь-Хрустальный г., Улица не указана, Полевая, 0;0;0
900222035;Морозов М.М.;Головино п., Улица не указана, Новая, 0;0;0
900222052;Алексеев А.А.;Покров г., Заречная шоссе, 71, 83;519;0
900222102;Иванов И.И.;Кольчугино г., Колхозная ул, 97, 43;519;223.08;3300000001 ХВС;0
900222118;Егоров Е.Е.;Кольчугино г., Октябрьская тер, Дом не указан, Квартира не указана;519;210.24
900222157;Фёдоров Ф.Ф.;Телегино д., Улица не указана, Лесная, 0;0;0
900222167;данные отсутствуют;Бавлены п., Заречная пер, 88, 0;519;219.37
900222195;Смирнов В.В.;Сокол п., Заречная наб, 128, 63;519;0
900222253;Лебедев Л.Л.;Покров г., Пионерская пр-кт, 60, 18;519;0
900222305;Егоров Е.Е.;Юрьевец п., Первомайская б-р, 24, 108;519;371.33;3300000001 ХВС;0
900222358;Алексеев А.А.;Собинка г., Улица не указана, Октябрьская, 0;0;0
900222372;Попов Д.Д.;Владимир г., Улица не указана, Новая, 0;0;0
900222381;Морозов М.М.;Красная Горбатка п., Пушкина пл, 12, 94;519;0
900222392;Михайлов М.М.;Александров г., Садовая тер, 55, 56;519;54.28;3300000001 ХВС;0
900222410;данные отсутствуют;Ставрово п., Октябрьская пл, 69, 0;519;360.24
900222416;Петров П.П.;Красная Горбатка п., Строительная тер, Дом не указан, Квартира не указана;519;198.84
900222471;Морозов М.М.;Сокол п., Садовая пл, Дом не указан, Квартира не указана;519;280.61
900222485;Лебедев Л.Л.;Бавлены п., Первомайская б-р, 57, 48;519;190.82;3300000001 ХВС;0
900222505;Сидоров С.С.;Сокол п., Строительная пер, Дом не указан, Квартира не указана;519;168.02
900222557;Семёнов С.С.;Семьинское с., Улица не указана, Школьная, 0;0;0
900222570;Иванов И.И.;Суздаль г., Улица не указана, Центральная, 0;0;0
900222575;Кузнецов А.А.;Беречино д., Заречная тер, 55, 119;519;0
900222582;Иванов И.И.;Собинка г., Комсомольская пр-кт, 101, 79;519;459.51;3300000001 ХВС;0
900222659;Лебедев Л.Л.;Александров г., Колхозная тер, 46, 98;519;0
900222677;Сидоров С.С.;Бавлены п., Улица не указана, Первомайская, 0;0;0
900222729;Новиков Н.Н.;Головино п., Центральная пр-кт, 10, 107;519;101.99;3300000001 ХВС;0
900222738;данные отсутствуют;Кольчугино г., Пионерская пер, 68, 0;519;441.34
900222768;Иванов И.И.;Лакинск г., Советская пер, 18, 28;519;77.97;3300000001 ХВС;0
900222792;данные отсутствуют;Гусь-Хрустальный г., Центральная ул, 111, 0;519;361.41
900222826;Новиков Н.Н.;Головино п., Октябрьская б-р, 135, 94;519;157.50;3300000001 ХВС;0
900222827;данные отсутствуют;Ковров г., Комсомольская тер, 36, 0;519;452.03
900222849;Иванов И.И.;Камешково г., Улица не указана, Ленина, 0;0;0
900222907;Иванов И.И.;Юрьевец п., Полевая тер, Дом не указан, Квартира не указана;519;526.13
900222931;Семёнов С.С.;Киржач г., Луговая шоссе, Дом не указан, Квартира не указана;519;188.99
900222936;данные отсутствуют;Муром г., Лесная пл, 77, 0;519;321.51
900222967;Фёдоров Ф.Ф.;Красная Горбатка п., Лесная б-р, 143, 21;519;251.37;3300000001 ХВС;0
900222970;Волков В.В.;Владимир г., Лесная пер, 112, 69;519;502.11;3300000001 ХВС;0
900222982;Семёнов С.С.;Суздаль г., Луговая пр-кт, Дом не указан, Квартира не указана;519;107.50
900222984;Михайлов М.М.;Кольчугино г., Улица не указана, Пушкина, 0;0;0
900223008;данные отсутствуют;Александров г., Мира пл, 59, 0;519;218.77
900223025;Васильев Е.Е.;Александров г., Новая мкр, 36А, 59;519;0
900223049;данные отсутствуют;Покров г., Пионерская тер, 147, 0;519;282.75
900223060;данные отсутствуют;Юрьевец п., Свободы шоссе, 115, 0;519;441.63
900223073;Кузнецов А.А.;Головино п., Победы пр-кт, 73, 14;519;0
900223121;данные отсутствуют;Кольчугино г., Колхозная ул, 105, 0;519;389.04
900223141;Лебедев Л.Л.;Покров г., Школьная пл, Дом не указан, Квартира не указана;519;382.35
900223143;Волков В.В.;Юрьевец п., Комсомольская пр-кт, Дом не указан, Квартира не указана;519;268.12
900223147;Попов Д.Д.;Суздаль г., Улица не указана, Лесная, 0;0;0
900223153;Волков В.В.;Киржач г., Заречная ул, Дом не указан, Квартира не указана;519;447.28
900223169;Семёнов С.С.;Юрьевец п., Луговая пр-кт, 108, 105;519;0
900223172;Михайлов М.М.;Владимир г., Улица не указана, Полевая, 0;0;0
900223173;Алексеев А.А.;Лемешки с., Победы наб, Дом не указан, Квартира не указана;519;430.56
900223234;данные отсутствуют;Семьинское с., Центральная ул, 81, 0;519;51.98
900223238;Алексеев А.А.;Гусь-Хрустальный г., Первомайская наб, 105, 137;519;258.43;3300000001 ХВС;0
900223278;данные отсутствуют;Вязники г., Победы тер, 41А, 0;519;317.02
900223295;Новиков Н.Н.;Беречино д., Набережная пл, 114А, 71;519;0
900223328;Михайлов М.М.;Лемешки с., Школьная мкр, 106, 117;519;146.37;3300000001 ХВС;0
900223370;Петров П.П.;Телегино д., Новая ул, Дом не указан, Квартира не указана;519;294.44
900223386;Васильев Е.Е.;Ставрово п., Строительная пл, 130, 82;519;0
900223414;Иванов И.И.;Собинка г., Лесная б-р, 40, 148;519;0
900223434;Фёдоров Ф.Ф.;Камешково г., Лесная шоссе, Дом не указан, Квартира не указана;519;158.23
900223444;Морозов М.М.;Беречино д., Гагарина б-р, Дом не указан, Квартира не указана;519;482.04
900223458;Сидоров С.С.;Покров г., Центральная шоссе, 137, 73;519;542.81;3300000001 ХВС;0
900223477;данные отсутствуют;Семьинское с., Набережная мкр, 86, 0;519;306.13
900223490;Михайлов М.М.;Гусь-Хрустальный г., Садовая мкр, Дом не указан, Квартира не указана;519;296.26
900223493;Семёнов С.С.;Юрьевец п., Гагарина б-р, 49, 94;519;526.10;3300000001 ХВС;0
900223495;данные отсутствуют;Беречино д., Ленина пр-кт, 60, 0;519;194.19
900223524;данные отсутствуют;Кольчугино г., Школьная пр-кт, 38, 0;519;53.19
900223551;Фёдоров Ф.Ф.;Александров г., Полевая пр-кт, 98, 69;519;0
900223598;Михайлов М.М.;Гусь-Хрустальный г., Улица не указана, Строительная, 0;0;0
900223606;данные отсутствуют;Сокол п., Пушкина пр-кт, 11, 0;519;460.64
900223643;Смирнов В.В.;Бавлены п., Улица не указана, Заречная, 0;0;0
900223652;Алексеев А.А.;Ковров г., Садовая мкр, Дом не указан, Квартира не указана;519;372.38
900223666;Петров П.П.;Вязники г., Гагарина пер, 118, 6;519;0
900223686;Волков В.В.;Киржач г., Садовая шоссе, 83, 128;519;526.30;3300000001 ХВС;0
900223701;Новиков Н.Н.;Муром г., Первомайская пер, Дом не указан, Квартира не указана;519;297.74
900223711;Кузнецов А.А.;Вязники г., Улица не указана, Мира, 0;0;0
900223720;Сидоров С.С.;Гусь-Хрустальный г., Улица не указана, Центральная, 0;0;0
900223723;Егоров Е.Е.;Юрьевец п., Строительная мкр, Дом не указан, Квартира не указана;519;113.09
900223748;Михайлов М.М.;Красная Горбатка п., Победы пер, 19, 26;519;0
900223762;Михайлов М.М.;Вязники г., Колхозная б-р, 75, 20;519;0
900223817;Васильев Е.Е.;Лемешки с., Центральная ул, 31, 133;519;0
900223831;данные отсутствуют;Киржач г., Советская пер, 125А, 0;519;441.47
900223863;Иванов И.И.;Бавлены п., Октябрьская б-р, 52, 108;519;239.58;3300000001 ХВС;0
900223884;Иванов И.И.;Семьинское с., Улица не указана, Набережная, 0;0;0
900223912;данные отсутствуют;Сокол п., Пионерская наб, 6, 0;519;169.09
900223946;Лебедев Л.Л.;Гусь-Хрустальный г., Школьная пер, Дом не указан, Квартира не указана;519;315.55
900223964;Фёдоров Ф.Ф.;Головино п., Первомайская ул, 64, 9;519;0
900223978;Смирнов В.В.;Гусь-Хрустальный г., Строительная б-р, 114А, 81;519;0
900223993;Семёнов С.С.;Сокол п., Новая пл, Дом не указан, Квартира не указана;519;379.73
900223998;Алексеев А.А.;Кольчугино г., Свободы наб, Дом не указан, Квартира не указана;519;196.67
900224014;Волков В.В.;Головино п., Гагарина пл, Дом не указан, Квартира не указана;519;538.34
900224109;Иванов И.И.;Ставрово п., Строительная ул, 54, 53;519;465.43;3300000001 ХВС;0
900224161;Смирнов В.В.;Семьинское с., Улица не указана, Набережная, 0;0;0
900224174;данные отсутствуют;Камешково г., Пионерская шоссе, 79, 0;519;294.93
900224196;Сидоров С.С.;Собинка г., Заречная шоссе, 6, 132;519;348.94;3300000001 ХВС;0
900224224;Смирнов В.В.;Боголюбово п., Пушкина б-р, Дом не указан, Квартира не указана;519;206.32
900224234;Васильев Е.Е.;Головино п., Улица не указана, Заречная, 0;0;0
900224240;Фёдоров Ф.Ф.;Кольчугино г., Улица не указана, Строительная, 0;0;0
900224272;Смирнов В.В.;Лакинск г., Советская мкр, 146, 138;519;388.72;3300000001 ХВС;0
900224286;Иванов И.И.;Камешково г., Молодежная шоссе, 130, 79;519;468.42;3300000001 ХВС;0
900224305;Сидоров С.С.;Александров г., Комсомольская мкр, Дом не указан, Квартира не указана;519;51.96
900224318;Лебедев Л.Л.;Покров г., Комсомольская шоссе, 89, 28;519;0
900224329;данные отсутствуют;Лакинск г., Октябрьская шоссе, 101, 0;519;157.99
900224347;данные отсутствуют;Собинка г., Свободы пл, 34, 0;519;539.22
900224416;Волков В.В.;Бавлены п., Новая пл, 108, 69;519;289.73;3300000001 ХВС;0
900224418;Фёдоров Ф.Ф.;Красная Горбатка п., Улица не указана, Заречная, 0;0;0
900224421;Алексеев А.А.;Головино п., Колхозная ул, 102, 86;519;318.03;3300000001 ХВС;0
900224500;Алексеев А.А.;Владимир г., Свободы пл, 62, 90;519;407.61;3300000001 ХВС;0
900224504;данные отсутствуют;Новоселка д., Комсомольская пер, 117, 0;519;258.42
900224508;Волков В.В.;Лакинск г., Октябрьская шоссе, Дом не указан, Квартира не указана;519;341.13
900224542;данные отсутствуют;Кольчугино г., Центральная б-р, 43, 0;519;102.16
900224557;Волков В.В.;Гусь-Хрустальный г., Октябрьская пр-кт, 16, 46;519;0
900224563;данные отсутствуют;Лемешки с., Мира тер, 62, 0;519;173.74
900224599;Кузнецов А.А.;Киржач г., Улица не указана, Садовая, 0;0;0
900224604;Морозов М.М.;Бавлены п., Свободы мкр, 43А, 76;519;373.56;3300000001 ХВС;0
900224607;Волков В.В.;Александров г., Строительная ул, 5А, 0;519;0
900224629;Егоров Е.Е.;Ковров г., Заречная пл, Дом не указан, Квартира не указана;519;379.67
900224638;данные отсутствуют;Собинка г., Школьная наб, 129, 0;519;288.97
900224726;данные отсутствуют;Боголюбово п., Садовая тер, 117, 0;519;185.21
900224734;Алексеев А.А.;Ковров г., Новая тер, 71, 38;519;0
900224748;Попов Д.Д.;Камешково г., Лесная пл, 37, 13;519;545.51;3300000001 ХВС;0
900224761;данные отсутствуют;Семьинское с., Мира шоссе, 100, 0;519;159.66
900224771;Смирнов В.В.;Красная Горбатка п., Лесная пер, Дом не указан, Квартира не указана;519;489.56
900224793;данные отсутствуют;Муром г., Мира ул, 58, 0;519;203.53
900224821;Кузнецов А.А.;Вязники г., Улица не указана, Ленина, 0;0;0
900224835;данные отсутствуют;Суздаль г., Молодежная б-р, 71, 0;519;505.82
900224913;Попов Д.Д.;Телегино д., Садовая наб, Дом не указан, Квартира не указана;519;127.66
900224919;Егоров Е.Е.;Вязники г., Мира б-р, 109, 78;519;0
900224990;Лебедев Л.Л.;Лакинск г., Улица не указана, Первомайская, 0;0;0
900225005;данные отсутствуют;Вязники г., Победы пер, 47, 0;519;405.25
900225011;Смирнов В.В.;Новоселка д., Первомайская пр-кт, Дом не указан, Квартира не указана;519;427.54
900225029;Новиков Н.Н.;Ставрово п., Улица не указана, Победы, 0;0;0
900225051;Лебедев Л.Л.;Камешково г., Улица не указана, Советская, 0;0;0
900225054;Алексеев А.А.;Сокол п., Мира пл, Дом не указан, Квартира не указана;519;393.14
900225091;Волков В.В.;Ставрово п., Новая пер, Дом не указан, Квартира не указана;519;51.20
900225093;Михайлов М.М.;Телегино д., Комсомольская наб, 142, 8;519;0
900225111;данные отсутствуют;Киржач г., Ленина шоссе, 33, 0;519;79.60
900225138;Михайлов М.М.;Головино п., Улица не указана, Садовая, 0;0;0
900225170;данные отсутствуют;Юрьевец п., Молодежная пер, 75, 0;519;383.96
900225184;Алексеев А.А.;Новоселка д., Луговая ул, 53, 7;519;0
900225218;Сидоров С.С.;Сокол п., Советская ул, 131, 70;519;547.01;3300000001 ХВС;0
900225259;Волков В.В.;Владимир г., Октябрьская наб, 40, 123;519;0
900225263;Петров П.П.;Александров г., Молодежная наб, 109, 143;519;0
900225266;Фёдоров Ф.Ф.;Вязники г., Гагарина ул, Дом не указан, Квартира не указана;519;195.45
900225272;данные отсутствуют;Ковров г., Октябрьская пл, 132, 0;519;83.62
900225274;Волков В.В.;Семьинское с., Октябрьская тер, 1, 146;519;255.80;3300000001 ХВС;0
900225305;Семёнов С.С.;Лакинск г., Новая б-р, 131, 115;519;377.91;3300000001 ХВС;0
900225323;Кузнецов А.А.;Суздаль г., Молодежная пер, Дом не указан, Квартира не указана;519;360.81
900225367;данные отсутствуют;Александров г., Колхозная ул, 80, 0;519;376.74
900225369;Петров П.П.;Ковров г., Колхозная тер, 9А, 123;519;146.94;3300000001 ХВС;0
900225419;Сидоров С.С.;Головино п., Гагарина пл, 97, 140;519;0
900225479;данные отсутствуют;Гусь-Хрустальный г., Мира пл, 135А, 0;519;542.11
900225513;Смирнов В.В.;Боголюбово п., Садовая мкр, Дом не указан, Квартира не указана;519;316.74
900225531;Егоров Е.Е.;Кольчугино г., Улица не указана, Ленина, 0;0;0
900225537;данные отсутствуют;Ставрово п., Строительная наб, 147, 0;519;451.09
900225541;Семёнов С.С.;Сокол п., Строительная пл, 53А, 26;519;0
900225559;Васильев Е.Е.;Гусь-Хрустальный г., Улица не указана, Лесная, 0;0;0
900225565;Волков В.В.;Юрьевец п., Победы б-р, 21А, 116;519;461.54;3300000001 ХВС;0
900225582;Алексеев А.А.;Бавлены п., Школьная б-р, 61, 23;519;0
900225713;Попов Д.Д.;Муром г., Школьная пер, Дом не указан, Квартира не указана;519;260.90
900225714;Морозов М.М.;Лакинск г., Победы б-р, 23, 135;519;0
900225741;Алексеев А.А.;Лемешки с., Улица не указана, Первомайская, 0;0;0
900225745;Кузнецов А.А.;Бавлены п., Улица не указана, Заречная, 0;0;0
900225770;данные отсутствуют;Сокол п., Мира мкр, 111, 0;519;443.60
900225792;Петров П.П.;Гусь-Хрустальный г., Молодежная тер, 6А, 6;519;0
900225794;Петров П.П.;Камешково г., Улица не указана, Свободы, 0;0;0
900225803;Михайлов М.М.;Камешково г., Строительная ул, 10, 97;519;0
900225838;данные отсутствуют;Боголюбово п., Набережная ул, 96, 0;519;67.43
900225840;Иванов И.И.;Киржач г., Комсомольская ул, 48, 113;519;498.89;3300000001 ХВС;0
